Name,Type,Descriptor,Index,Value,Terminator,Droptable
SP+40,STAT,SP,,40,,
SP+80,STAT,SP,,80,,
STRAIN+50%,BONUS,STND_STRAIN_BOOST,,500,UPON_HARVEST_ACTION,
STRAIN-25%,BONUS,STND_STRAIN_BOOST,,-250,UPON_HARVEST_ACTION,
E_BOUNTY+20%,BONUS,HARV_BOUNTY_BOOST,,200,UPON_UNEQUIP,
E_BOUNTY+16%,BONUS,HARV_BOUNTY_BOOST,,160,UPON_UNEQUIP,
E_BOUNTY+12%,BONUS,HARV_BOUNTY_BOOST,,120,UPON_UNEQUIP,
BOUNTY+25%,BONUS,HARV_BOUNTY_BOOST,,250,UPON_HARVEST_ACTION,
ARB-25%,BONUS,ATK_RECOIL_BOOST,,-250,UPON_LIQUIDATION,
COOLDOWN-30s,BONUS,STND_COOLDOWN_SHIFT,,-30,UPON_COOLDOWN_SET,
E_ASR+10%,BONUS,ATK_SPOILS_RATIO,,100,UPON_UNEQUIP,
E_ASR+8%,BONUS,ATK_SPOILS_RATIO,,80,UPON_UNEQUIP,
E_ASR+6%,BONUS,ATK_SPOILS_RATIO,,60,UPON_UNEQUIP,
E_DSR+10%,BONUS,DEF_SALVAGE_RATIO,,100,UPON_UNEQUIP,
E_DSR+6%,BONUS,DEF_SALVAGE_RATIO,,60,UPON_UNEQUIP,
E_DSR+8%,BONUS,DEF_SALVAGE_RATIO,,80,UPON_UNEQUIP,
DSR+25%,BONUS,DEF_SALVAGE_RATIO,,250,UPON_DEATH,
E_ATS+10%,BONUS,ATK_THRESHOLD_SHIFT,,100,UPON_UNEQUIP,
E_ATS+8%,BONUS,ATK_THRESHOLD_SHIFT,,80,UPON_UNEQUIP,
E_ATS+6%,BONUS,ATK_THRESHOLD_SHIFT,,60,UPON_UNEQUIP,
ATS-30%_KK,BONUS,ATK_THRESHOLD_SHIFT,,-300,UPON_DEATH,
ATS+3%,BONUS,ATK_THRESHOLD_SHIFT,,30,UPON_LIQUIDATION,
E_HIB+25P,BONUS,HARV_INTENSITY_BOOST,,25,UPON_UNEQUIP,
E_HIB+20,BONUS,HARV_INTENSITY_BOOST,,20,UPON_UNEQUIP,
E_HIB+15P,BONUS,HARV_INTENSITY_BOOST,,15,UPON_UNEQUIP,
HIB+25,BONUS,HARV_INTENSITY_BOOST,,25,UPON_HARVEST_ACTION,
