Index,NPC,Mood,Text,nextDialogue,Choice
,,,,,
010001,Mina,mina_default_1.png,Welcome to the gift shop. You can call me Mina.,010002,
010002,Mina,mina_default_1.png,This is my world within a world. You’re welcome to browse. ,,"011001, 011002, 011003, 011004, 011005"
011001,Mina,,Ask about Shop,010003,
011002,Mina,,Ask about Mina,010006,
011003,Mina,,Ask about Snake,010009,
011004,Mina,,Ask about World,010011,
011005,Mina,,Goodbye.,010014,
010003,Mina,mina_default_1.png,This is mainly a confectionery. I sell treats for you and your Kami.,010004,
010004,Mina,mina_default_1.png,"However, I also provide a set of hobbyist tools for those with an interest in herbalism and potion crafting.",010005,
010005,Mina,mina_default_1.png,"If you are truly a beginner, I may train you in their use. You will have to do some simple errands for me first.",010002,
010006,Mina,mina_laugh_1.png,You want to get to know me better? How forward.,010007,
010007,Mina,mina_default_1.png,"I am just a traveling saleswoman, of course. I go where the $MUSU goes.",010008,
010008,Mina,mina_default_1.png,This looked like an interesting place to open a shop. There isn’t much beyond that. ,010002,
010009,Mina,mina_default_1.png,His name is Byakuya. We have been allies for so long that he is like a part of me. ,010010,
010010,Mina,mina_default_1.png,I forbid you to pet him. He may bite.,010002,
010011,Mina,mina_pity_1.png,Are you not a native of this place? I must have been mistaken. ,010012,
010012,Mina,mina_default_1.png,"Still, your aura shares some qualities with the world outside my door.",010013,
010013,Mina,mina_default_1.png,We will have to learn more together.,010002,
010014,Mina,mina_default_1.png,Take a shower before you return. You’ve carried a musty smell inside.,End dialogue,
,Mina,,,,
,Mina,,,,
,,,,,
020001,Dimidiatus,dimidiatus_frown.png,"Hail, curious one. We are Dimidiatus. The threads of fate have bound us together.",020002,
020002,Dimidiatus,dimidiatus_laugh.png,"No one is using this old temple any longer, so we were allowed to set up shop. ",020003,
020003,Dimidiatus,dimidiatus_laugh.png,We’re happy to serve. What service? You’ll have to ask the other guy. Heh heh.,020004,
020004,Dimidiatus,dimidiatus_frown.png,"If you have questions, we will answer within the limits of our contract.",,"021001, 021002, 021003, 021004, 021005"
021001,Dimidiatus,,Ask about Dimidiatus,020005,
021002,Dimidiatus,,Ask about Temple,020006,
021003,Dimidiatus,,Ask about Service,020011,
021004,Dimidiatus,,Ask about Contract,020014,
021005,Dimidiatus,,Goodbye.,020017,
020005,Dimidiatus,dimidiatus_laugh.png,"We’re just some regular guys. It’s not too important. We could ask you about yourself, too, but I don’t think you’ll answer. Heh heh.",020004,
020006,Dimidiatus,dimidiatus_frown.png,It is a construction of a forgotten early age of man. They possessed a rare understanding of the underpinnings of the universe.,020007,
020007,Dimidiatus,dimidiatus_frown.png,"The word “temple” is your best modern translation. It is a consecrated space, but not meant for worship. This had a sacred but practical function.",020008,
020008,Dimidiatus,dimidiatus_frown.png,"A darkness exists beneath all things. Here, we see and feel it firsthand. ",020009,
020009,Dimidiatus,dimidiatus_frown.png,"Long ago, those men could travel vast distances through the dark. Even travel between worlds was possible.",020010,
020010,Dimidiatus,dimidiatus_frown.png,"That power was volatile. It has long since evaporated. However, if the darkness could be fortified, perhaps some function may be restored.",020004,
020011,Dimidiatus,dimidiatus_frown.png,"As a Lord of the Kami, you have been granted a boon that may be perceived as a burden. You may now perform the ritual of Kami Sacrifice.",020012,
020012,Dimidiatus,dimidiatus_frown.png,"This ritual will irreversibly destroy a single Kamigotchi. In exchange, you will be granted a unique item that empowers another Kamigotchi.",020013,
020013,Dimidiatus,dimidiatus_frown.png,We have been contracted to perform this solemn task at your discretion.,020004,
020014,Dimidiatus,dimidiatus_laugh.png,Who wrote the contract? Figure it out yourself. I bet you can. ,020015,
020015,Dimidiatus,dimidiatus_laugh.png,"Or maybe you already know, and you just wanted to hear me say it out loud. Heh heh. You’re so smart.",020016,
020016,Dimidiatus,dimidiatus_laugh.png,"We’re on the same side, buddy. I’m just having a little fun.",020004,
020017,Dimidiatus,dimidiatus_both_png,"Farewell.
Peace.",End dialogue,
020018,Dimidiatus,dimidiatus_both_png,"We accept the chosen offering. Let it be done.
We accept the chosen offering. Let it be done.",,
,,,,,
030001,Zevana,huntress.png,"This is the Kamigotchi Adoption Agency. Anyone can adopt a Kamigotchi, even a bum like yourself.",030002,
030002,Zevana,huntress.png,"I’m in charge of protecting the young ones for now. You don’t even look like you could handle the runts, but…",030003,
030003,Zevana,huntress.png,"You must need help, looking like that. It can get lonely out here without any friends.",,"031001, 031002, 031003, 031004, 031005"
031001,Zevana,,Ask about You,030004,
031002,Zevana,,Ask about Kamigotchi ,030006,
031003,Zevana,,Ask about Help,030011,
031004,Zevana,,Ask about Friends,030013,
031005,Zevana,,Goodbye,030016,
030004,Zevana,huntress_pose_2.png,"I already told you! You must be trying to start trouble, huh? Well, try me!",030005,
030005,Zevana,huntress.png,"Oh, you mean my name? Zevana. I thought you might not really want to fight. You’re far too weak to stand up to someone like me.",030003,
030006,Zevana,huntress.png,"A Kamigotchi is a small beast made of spiritual matter. Some people use “Kami” as a shorthand, but that’s technically wrong.",030007,
030007,Zevana,huntress.png,"Most Kami represent the essence of a single thing, but the Kamigotchi are chimeras. Their bodies are made up of different pieces called Traits.",030008,
030008,Zevana,huntress.png,"Traits determine a Kamigotchi’s Type, expressed as Type/Type. The four Types are Normal, Scrap, Eerie, and Insect.",030009,
030009,Zevana,huntress_pose_2.png,"For example, a Kamigotchi with a simple ghostly body and the forelimbs of a praying mantis would be Normal/Insect type. ",030010,
030010,Zevana,huntress_pose_2.png,"Yeah, I know a lot about them. I like them! They’re cute! Want me to rip YOU into different qualities, you pathetic wretch? You’re so pitiful that… Well…",030003,
030011,Zevana,huntress.png,"Oh, you’re asking for help? Unfortunately, I can’t protect you on your adventure. It would be cheating. ",030012,
030012,Zevana,huntress.png,All I can do is sell you a Kamigotchi at a fair price. That’s my charge. You’d better take care of the little beast.,030003,
030013,Zevana,huntress.png,"I’m talking about the Kamigotchi, not myself. Don’t be a dummy. Like I’d ever want to be friends with a thing like you!",030014,
030014,Zevana,huntress.png,My consummate professionalism is the only reason I’m speaking to you now.,030015,
030015,Zevana,huntress.png,Stop screwing around. ,,"031001, 031002, 031003, 031004, 031005"
030016,Zevana,huntress_pose_2.png,"Running away, huh? I can wait. You’ll be back.",End dialogue,
,Zevana,,,,
,,,,,
,,,,,
040001,Vending Machine,vend.png,Some people say it's not real food! But I quite like it and I think you will too!,040002,
040002,Vending Machine,vend.png,I’m the vending machine! It’s the vending machine!,End dialogue,
,,,,,
050001,Rob,robtransparent2.png,"You lookin’ at something, buddy? I’m busy here. Dancin’ on a pole takes a lot of focus.",050002,
050002,Rob,robtransparent2.png,"If you want to make any chit-chat, keep it short.",,"051001, 051002, 051003, 051004, 051005"
051001,Rob,,Ask about You,051001,
051002,Rob,,Ask about Buddy,050006,
051003,Rob,,Ask about Dancing,050008,
051004,Rob,,Ask about Chit-chat,050010,
051005,Rob,,Goodbye,050012,
050003,Rob,robtransparent2.png,"Call me Rob. I’m a regular guy, just like anybody else. Isn’t it obvious?",050004,
050004,Rob,robtransparent2.png,"Not buyin’ it, huh? You’re smarter than the average puck.",050005,
050005,Rob,robtransparent2.png,"Anyway kid, you won’t get a straight answer outta me on this one.",050002,
050006,Rob,robtransparent2.png,"Yeah, have we met? You look a little like a buddy of mine, too.",050007,
050007,Rob,robtransparent2.png,Nah… Pretty sure I’d remember a mug like that. Must be one of those things.,050002,
050008,Rob,robtransparent2.png,"What else should I be doin’? I’m free, I’m happy. I’m expressin’ what’s in my heart and soul.",050009,
050009,Rob,robtransparent2.png,Get locked in a treasure room for a thousand years yourself and tell me you won’t be dancin’ when you get out.,050002,
050010,Rob,robtransparent2.png,"You can’t think of anythin’ else to talk about, so you wanna talk about havin’ a conversation?",050011,
050011,Rob,robtransparent2.png,"You’re startin’ to bother me, kid. I like ya just fine, but don’t push it. ",050002,
050012,Rob,robtransparent2.png,"Well met, kid. I’ll be seein’ you. ",End dialogue,
,,,,,
,,,,,
060001,Nurse Why,,,,
,,,,,
070001,Dolores,,,,
,,,,,
080001,Artie Zbirak,,,,
,,,,,
,,,,,
,,,,,
,,,,,
